State,abbrev,Seat,id,districtType,incumbent,incumbentParty,openRace,pvi,incumbencyBump,projMargin,win
Nevada,NV,4,NV04,Urban-suburban mix,"Horsford, Stephen ",(D),,-1.76,-3,-11.86,21.46
New York,NY,1,NY01,Sparse suburban,"Zeldin, Lee",(R),,12.54,3,8.44,71.32
New York,NY,2,NY02,Dense suburban,,(R),OPEN,11.65,0,4.55,61.92
New York,NY,3,NY03,Dense suburban,"Suozzi, Tom",(D),,-5.9,-3,-16,14.31
New York,NY,4,NY04,Urban-suburban mix,"Rice, Kathleen",(D),,-10.68,-3,-20.78,8.30
New York,NY,5,NY05,Pure urban,"Meeks, Gregory",(D),,-71.48,-3,-81.58,0.00
New York,NY,6,NY06,Pure urban,"Meng, Grace",(D),,-31.01,-3,-41.11,0.31
New York,NY,7,NY07,Pure urban,"Velazquez, Nydia",(D),,-74.2,-3,-84.3,0.00
New York,NY,8,NY08,Pure urban,"Jeffries, Hakeem",(D),,-69.5,-3,-79.6,0.00
New York,NY,9,NY09,Pure urban,"Clarke, Yvette",(D),,-68.64,-3,-78.74,0.00
New York,NY,10,NY10,Pure urban,"Nadler, Jerrold",(D),,-55.37,-3,-65.47,0.00
New York,NY,11,NY11,Pure urban,"Rose, Max",(D),,6.26,-3,-3.84,39.90
New York,NY,12,NY12,Pure urban,"Maloney, Carolyn",(D),,-65.18,-3,-75.28,0.00
New York,NY,13,NY13,Pure urban,"Espaillat, Adriano",(D),,-83.04,-3,-93.14,0.00
New York,NY,14,NY14,Pure urban,"Ocasio-Cortez, Alexandria",(D),,-56.16,-3,-66.26,0.00
New York,NY,15,NY15,Pure urban,,(D),OPEN,-85.57,0,-92.67,0.00
New York,NY,16,NY16,Pure urban,"Engel, Eliot",(D),,-49.7,-3,-59.8,0.00
New York,NY,17,NY17,Sparse suburban,,(D),OPEN,-17.34,0,-24.44,5.16
New York,NY,18,NY18,Rural-suburban mix,"Maloney, Sean",(D),,0.68,-3,-9.42,26.50
New York,NY,19,NY19,Pure rural,"Delgado, Antonio",(D),,5.31,-3,-4.79,37.47
New York,NY,20,NY20,Sparse suburban,"Tonko, Paul",(D),,-17.76,-3,-27.86,3.16
New York,NY,21,NY21,Pure rural,"Stefanik, Elise",(R),,17.02,3,12.92,80.55
New York,NY,22,NY22,Rural-suburban mix,"Brindisi, Anthony",(D),,11.41,-3,1.31,53.48
New York,NY,23,NY23,Pure rural,"Reed, Tom",(R),,15.81,3,11.71,78.25
New York,NY,24,NY24,Rural-suburban mix,"Katko, John",(R),,4.34,3,0.24,50.64
New York,NY,25,NY25,Sparse suburban,"Morelle, Joe",(D),,-12.22,-3,-22.32,6.84
New York,NY,26,NY26,Urban-suburban mix,"Higgins, Brian",(D),,-27.59,-3,-37.69,0.60
New York,NY,27,NY27,Pure rural,VACANT ,(R),,17.65,3,13.55,81.68
Ohio,OH,1,OH01,Sparse suburban,"Chabot, Steve",(R),,10.77,3,6.67,67.17
Ohio,OH,2,OH02,Rural-suburban mix,"Wenstrup, Brad",(R),,20.89,3,16.79,86.85
Ohio,OH,3,OH03,Dense suburban,"Beatty, Joyce",(D),,-37.44,-3,-47.54,0.08
Ohio,OH,4,OH04,Rural-suburban mix,"Jordan, Jim",(R),,35.45,3,31.35,98.17
Ohio,OH,5,OH05,Rural-suburban mix,"Latta, Bob",(R),,29.68,3,25.58,95.59
Ohio,OH,6,OH06,Pure rural,"Johnson, Bill",(R),,42.95,3,38.85,99.52
Ohio,OH,7,OH07,Rural-suburban mix,"Gibbs, Bob",(R),,27.4,3,23.3,93.98
Ohio,OH,8,OH08,Rural-suburban mix,"Davidson, Warren",(R),,38.18,3,34.08,98.85
Ohio,OH,9,OH09,Dense suburban,"Kaptur, Marcy",(D),,-24.48,-3,-34.58,1.06
Ohio,OH,10,OH10,Sparse suburban,"Turner, Michael",(R),,14.85,3,10.75,76.32
Ohio,OH,11,OH11,Urban-suburban mix,"Fudge, Marcia",(D),,-59.02,-3,-69.12,0.00
Ohio,OH,12,OH12,Sparse suburban,"Balderson, Troy",(R),,13.23,3,9.13,72.86
Ohio,OH,13,OH13,Sparse suburban,"Ryan, Tim",(D),,-10.37,-3,-20.47,8.62
Ohio,OH,14,OH14,Sparse suburban,"Joyce, David",(R),,15.44,3,11.34,77.52
Ohio,OH,15,OH15,Rural-suburban mix,"Stivers, Steve",(R),,21.07,3,16.97,87.10
Ohio,OH,16,OH16,Sparse suburban,"Gonzalez, Anthony",(R),,19.57,3,15.47,84.88
Oklahoma,OK,1,OK01,Sparse suburban,"Hern, Kevin",(R),,29.65,3,25.55,95.57
Oklahoma,OK,2,OK02,Pure rural,"Mullin, Markwayne",(R),,47.02,3,42.92,99.79
Oklahoma,OK,3,OK03,Pure rural,"Lucas, Frank",(R),,55.17,3,51.07,99.97
Oklahoma,OK,4,OK04,Rural-suburban mix,"Cole, Tom",(R),,38.96,3,34.86,98.99
Oklahoma,OK,5,OK05,Dense suburban,"Horn, Kendra",(D),,12.45,-3,2.35,56.22
Oregon,OR,1,OR01,Dense suburban,"Bonamici, Suzanne",(D),,-21.01,-3,-31.11,1.90
Oregon,OR,2,OR02,Rural-suburban mix,,(R),OPEN,23.49,0,16.39,86.27
Oregon,OR,3,OR03,Urban-suburban mix,"Blumenauer, Earl",(D),,-44.98,-3,-55.08,0.01
Oregon,OR,4,OR04,Rural-suburban mix,"DeFazio, Peter",(D),,-2.31,-3,-12.41,20.40
Oregon,OR,5,OR05,Dense suburban,"Schrader, Kurt",(D),,-2.97,-3,-13.07,19.18
Pennsylvania,PA,1,PA01,Sparse suburban,"Fitzpatrick, Brian",(R),,5.27,3,1.17,53.11
Pennsylvania,PA,2,PA02,Pure urban,"Boyle, Brendan",(D),,-48.1,-3,-58.2,0.01
Pennsylvania,PA,3,PA03,Pure urban,"Evans, Dwight",(D),,-80.02,-3,-90.12,0.00
Pennsylvania,PA,4,PA04,Sparse suburban,"Dean, Madeleine",(D),,-17.01,-3,-27.11,3.54
Pennsylvania,PA,5,PA05,Urban-suburban mix,"Gay Scanlon, Mary ",(D),,-23.94,-3,-34.04,1.16
Pennsylvania,PA,6,PA06,Sparse suburban,"Houlahan, Chrissy",(D),,-7.31,-3,-17.41,12.29
Pennsylvania,PA,7,PA07,Sparse suburban,"Wild, Susan",(D),,-0.49,-3,-10.59,24.01
Pennsylvania,PA,8,PA08,Rural-suburban mix,"Cartwright, Matt",(D),,4.15,-3,-5.95,34.58
Pennsylvania,PA,9,PA09,Pure rural,"Meuser, Dan",(R),,30.88,3,26.78,96.29
Pennsylvania,PA,10,PA10,Sparse suburban,"Perry, Scott",(R),,11.04,3,6.94,67.82
Pennsylvania,PA,11,PA11,Sparse suburban,"Smucker, Lloyd",(R),,27.12,3,23.02,93.76
Pennsylvania,PA,12,PA12,Pure rural,"Keller, Fred",(R),,38.46,3,34.36,98.90
Pennsylvania,PA,13,PA13,Pure rural,"Joyce, John",(R),,47.67,3,43.57,99.82
Pennsylvania,PA,14,PA14,Rural-suburban mix,"Reschenthaler, Guy",(R),,27.14,3,23.04,93.77
Pennsylvania,PA,15,PA15,Pure rural,"Thompson, Glenn",(R),,43.45,3,39.35,99.56
Pennsylvania,PA,16,PA16,Rural-suburban mix,"Kelly, Mike",(R),,16.62,3,12.52,79.80
Pennsylvania,PA,17,PA17,Sparse suburban,"Lamb, Conor",(D),,1.2,-3,-8.9,27.65
Pennsylvania,PA,18,PA18,Urban-suburban mix,"Doyle, Mike",(D),,-24.99,-3,-35.09,0.97
Rhode Island,RI,1,RI01,Urban-suburban mix,"Cicilline, David",(D),,-24.88,-3,-34.98,0.99
Rhode Island,RI,2,RI02,Sparse suburban,"Langevin, Jim",(D),,-12.38,-3,-22.48,6.70
South Carolina,SC,1,SC01,Sparse suburban,"Cunningham, Joe",(D),,12.28,-3,2.18,55.78
South Carolina,SC,2,SC02,Rural-suburban mix,"Wilson, Joe",(R),,21.35,3,17.25,87.49
South Carolina,SC,3,SC03,Pure rural,"Duncan, Jeff",(R),,41.93,3,37.83,99.42
South Carolina,SC,4,SC04,Sparse suburban,"Timmons, William",(R),,29.72,3,25.62,95.62
South Carolina,SC,5,SC05,Pure rural,"Norman, Ralph",(R),,21.66,3,17.56,87.91
South Carolina,SC,6,SC06,Pure rural,"Clyburn, Jim",(D),,-34.36,-3,-44.46,0.15
South Carolina,SC,7,SC07,Rural-suburban mix,"Rice, Tom",(R),,23.36,3,19.26,90.04
South Dakota,SD,1,SD00,Pure rural,"Johnson, Dusty",(R),,31.35,3,27.25,96.54
Tennessee,TN,1,TN01,Rural-suburban mix,,(R),OPEN,60.76,0,53.66,99.98
Tennessee,TN,2,TN02,Rural-suburban mix,"Burchett, Tim",(R),,39.58,3,35.48,99.10
Tennessee,TN,3,TN03,Rural-suburban mix,"Fleischmann, Chuck",(R),,37.01,3,32.91,98.59
Tennessee,TN,4,TN04,Rural-suburban mix,"DesJarlais, Scott",(R),,40.38,3,36.28,99.22
Tennessee,TN,5,TN05,Sparse suburban,"Cooper, Jim",(D),,-20.44,-3,-30.54,2.09
Tennessee,TN,6,TN06,Pure rural,"Rose, John",(R),,49.71,3,45.61,99.88
Tennessee,TN,7,TN07,Pure rural,"Green, Mark",(R),,41.79,3,37.69,99.40
Tennessee,TN,8,TN08,Rural-suburban mix,"Kustoff, David",(R),,41.42,3,37.32,99.36
Tennessee,TN,9,TN09,Dense suburban,"Cohen, Steve",(D),,-53.87,-3,-63.97,0.00
Texas,TX,1,TX01,Pure rural,"Gohmert, Louie",(R),,51.38,3,47.28,99.92
Texas,TX,2,TX02,Dense suburban,"Crenshaw, Dan",(R),,15.41,3,11.31,77.46
Texas,TX,3,TX03,Dense suburban,"Taylor, Van",(R),,19.11,3,15.01,84.15
Texas,TX,4,TX04,Pure rural,"Ratcliffe, John",(R),,57.92,3,53.82,99.98
Texas,TX,5,TX05,Rural-suburban mix,"Gooden, Lance",(R),,32.16,3,28.06,96.93
Texas,TX,6,TX06,Dense suburban,"Wright, Ron",(R),,15.87,3,11.77,78.37
Texas,TX,7,TX07,Urban-suburban mix,"Fletcher, Lizzie",(D),,4.41,-3,-5.69,35.22
Texas,TX,8,TX08,Rural-suburban mix,"Brady, Kevin",(R),,54.52,3,50.42,99.96
Texas,TX,9,TX09,Urban-suburban mix,"Green, Al",(D),,-58.54,-3,-68.64,0.00
Texas,TX,10,TX10,Rural-suburban mix,"McCaul, Michael",(R),,13.22,3,9.12,72.84
Texas,TX,11,TX11,Rural-suburban mix,"Conaway, Michael",(R),,65.35,3,61.25,100.00
Texas,TX,12,TX12,Sparse suburban,"Granger, Kay",(R),,35.94,3,31.84,98.31
Texas,TX,13,TX13,Rural-suburban mix,"Thornberry, Mac",(R),,68.8,3,64.7,100.00
Texas,TX,14,TX14,Sparse suburban,"Weber, Randy",(R),,25.05,3,20.95,91.87
Texas,TX,15,TX15,Sparse suburban,"Gonzalez, Vicente",(D),,-13.31,-3,-23.41,5.93
Texas,TX,16,TX16,Dense suburban,"Escobar, Veronica",(D),,-34.76,-3,-44.86,0.14
Texas,TX,17,TX17,Rural-suburban mix,"Flores, Bill",(R),,22.33,3,18.23,88.79
Texas,TX,18,TX18,Dense suburban,"Jackson Lee, Sheila",(D),,-50.08,-3,-60.18,0.00
Texas,TX,19,TX19,Rural-suburban mix,"Arrington, Jodey",(R),,54.8,3,50.7,99.96
Texas,TX,20,TX20,Dense suburban,"Castro, Joaquin",(D),,-23.54,-3,-33.64,1.25
Texas,TX,21,TX21,Dense suburban,"Roy, Chip",(R),,13.07,3,8.97,72.51
Texas,TX,22,TX22,Sparse suburban,,(R),OPEN,13.51,0,6.41,66.54
Texas,TX,23,TX23,Rural-suburban mix,,(R),OPEN,4.12,0,-2.98,42.13
Texas,TX,24,TX24,Dense suburban,,(R),OPEN,11.59,0,4.49,61.77
Texas,TX,25,TX25,Rural-suburban mix,"Williams, Roger",(R),,18.04,3,13.94,82.36
Texas,TX,26,TX26,Sparse suburban,"Burgess, Michael",(R),,29.96,3,25.86,95.76
Texas,TX,27,TX27,Rural-suburban mix,"Cloud, Michael",(R),,28.72,3,24.62,94.96
Texas,TX,28,TX28,Sparse suburban,"Cuellar, Henry",(D),,-17.66,-3,-27.76,3.21
Texas,TX,29,TX29,Dense suburban,"Garcia, Sylvia",(D),,-41.69,-3,-51.79,0.03
Texas,TX,30,TX30,Dense suburban,"Johnson, E.B.",(D),,-58.44,-3,-68.54,0.00
Texas,TX,31,TX31,Sparse suburban,"Carter, John",(R),,14.36,3,10.26,75.30
Texas,TX,32,TX32,Dense suburban,"Allred, Collin",(D),,2.98,-3,-7.12,31.75
Texas,TX,33,TX33,Dense suburban,"Veasey, Marc",(D),,-45.86,-3,-55.96,0.01
Texas,TX,34,TX34,Rural-suburban mix,"Vela, Filemon",(D),,-15.72,-3,-25.82,4.26
Texas,TX,35,TX35,Dense suburban,"Doggett, Lloyd",(D),,-33.1,-3,-43.2,0.20
Texas,TX,36,TX36,Rural-suburban mix,"Babin, Brian",(R),,51.31,3,47.21,99.92
Utah,UT,1,UT01,Sparse suburban,,(R),OPEN,39.71,0,32.61,98.51
Utah,UT,2,UT02,Rural-suburban mix,"Stewart, Chris",(R),,23.13,3,19.03,89.77
Utah,UT,3,UT03,Sparse suburban,"Curtis, John",(R),,39.93,3,35.83,99.15
Utah,UT,4,UT04,Dense suburban,"McAdams, Ben",(D),,11.79,-3,1.69,54.49
Virginia,VA,1,VA01,Rural-suburban mix,"Wittman, Rob",(R),,16.66,3,12.56,79.88
Virginia,VA,2,VA02,Dense suburban,"Luria, Elaine",(D),,5.93,-3,-4.17,39.05
Virginia,VA,3,VA03,Dense suburban,"Scott, Bobby",(D),,-29.79,-3,-39.89,0.39
Virginia,VA,4,VA04,Rural-suburban mix,"McEachin, Donald",(D),,-18.71,-3,-28.81,2.74
Virginia,VA,5,VA05,Pure rural,"Riggleman, Denver ",(R),,13.79,3,9.69,74.09
Virginia,VA,6,VA06,Rural-suburban mix,"Cline, Ben ",(R),,27.07,3,22.97,93.72
Virginia,VA,7,VA07,Rural-suburban mix,"Spanberger, Abigail",(D),,8.28,-3,-1.82,45.17
Virginia,VA,8,VA08,Urban-suburban mix,"Beyer, Don",(D),,-45.77,-3,-55.87,0.01
Virginia,VA,9,VA09,Pure rural,"Griffith, Morgan",(R),,40.38,3,36.28,99.22
Virginia,VA,10,VA10,Sparse suburban,"Wexton, Jennifer",(D),,-4.77,-3,-14.87,16.08
Virginia,VA,11,VA11,Dense suburban,"Connolly, Gerry",(D),,-35.04,-3,-45.14,0.13
Vermont,VT,1,VT00,Pure rural,"Welch, Peter",(D),,-29.74,-3,-39.84,0.40
Washington,WA,1,WA01,Sparse suburban,"DelBene, Suzan",(D),,-11.58,-3,-21.68,7.42
Washington,WA,2,WA02,Dense suburban,"Larsen, Rick",(D),,-19.73,-3,-29.83,2.34
Washington,WA,3,WA03,Rural-suburban mix,"Herrera Beutler, Jaime",(R),,11.09,3,6.99,67.94
Washington,WA,4,WA04,Rural-suburban mix,"Newhouse, Dan",(R),,29.17,3,25.07,95.27
Washington,WA,5,WA05,Rural-suburban mix,"McMorris Rodgers, Cathy",(R),,16.36,3,12.26,79.31
Washington,WA,6,WA06,Rural-suburban mix,"Kilmer, Derek",(D),,-14.33,-3,-24.43,5.17
Washington,WA,7,WA07,Urban-suburban mix,"Jayapal, Pramila",(D),,-62.6,-3,-72.7,0.00
Washington,WA,8,WA08,Sparse suburban,"Schrier, Kim",(D),,1.49,-3,-8.61,28.30
Washington,WA,9,WA09,Dense suburban,"Smith, Adam",(D),,-44.03,-3,-54.13,0.02
Washington,WA,10,WA10,Dense suburban,,(D),OPEN,-11.84,0,-18.94,10.34
Wisconsin,WI,1,WI01,Sparse suburban,"Steil, Bryan",(R),,15.8,3,11.7,78.23
Wisconsin,WI,2,WI02,Rural-suburban mix,"Pocan, Mark",(D),,-34.4,-3,-44.5,0.15
Wisconsin,WI,3,WI03,Pure rural,"Kind, Ron",(D),,-2.6,-3,-12.7,19.86
Wisconsin,WI,4,WI04,Urban-suburban mix,"Moore, Gwen",(D),,-47.78,-3,-57.88,0.01
Wisconsin,WI,5,WI05,Sparse suburban,,(R),OPEN,27.37,0,20.27,91.17
Wisconsin,WI,6,WI06,Rural-suburban mix,"Grothman, Glenn",(R),,18.49,3,14.39,83.13
Wisconsin,WI,7,WI07,Pure rural,,(R),OPEN,24.42,0,17.32,87.59
Wisconsin,WI,8,WI08,Rural-suburban mix,"Gallagher, Mike",(R),,25.83,3,21.73,92.63
West Virginia,WV,1,WV01,Pure rural,"McKinley, David",(R),,39.69,3,35.59,99.12
West Virginia,WV,2,WV02,Pure rural,"Mooney, Alex",(R),,28.74,3,24.64,94.98
West Virginia,WV,3,WV03,Pure rural,"Miller, Carol ",(R),,36.28,3,32.18,98.40
Wyoming,WY,1,WY00,Pure rural,"Cheney, Liz",(R),,45.96,3,41.86,99.74
